semester_info,weeks
semester_info,16

teacher_restrictions,teacher,allowed_pairs,preferred_days,priority
teacher_restrictions,викл. Лемещук О.І.,3,Четвер,1
teacher_restrictions,доц. Полторацький М.Ю.,1-6,Четвер,2
teacher_restrictions,проф. Бабічев С.А.,2-3,Понеділок,2


group_info,group,subject
group_info,12-411,014 Середня освіта (Фізика)
group_info,12-412,104 Фізика та астрономія
group_info,12-421,014 Середня освіта (Математика)
group_info,12-431,122 Комп'ютерні науки
group_info,12-432,014 Середня освіта (Інформатика)
group_info,12-441,121 Інженерія програмного забезпечення
group_info,12-242,121 Інженерія ПЗ (скорочений термін)
group_info,12-461,126 Інформаційні системи та технології


group,subject,teacher,type,link,total_hours
12-411,Методика навчання фізики та шкільний фізичний експеримент,проф. Волошинов С.А.,лекція,https://zoom.us/j/123,16
12-411,Методика навчання фізики та шкільний фізичний експеримент,проф. Волошинов С.А.,практика,код:12124211 пароль: 1234,16
12-411,Методика та техніка дистанційного навчання,проф. Волошинов С.А.,практика,https://dota2.ru/,16
12-411_12-412,Астрономія,проф. Кузьменков С.Г.,лекція,https://zoom.us/j/123,32
12-421,Теорія ймовірностей і математична статистика,доц.О.Котова,лекція,https://zoom.us/j/123,16
12-421,Лабораторний практикум з методики навчання математики,ст.викл. В.Григор'єва,практика,https://zoom.us/j/123,16
12-421,Функціональний аналіз,доц. Кузьмич В.І.,лекція,https://zoom.us/j/123,16
12-421,Методика навчання математики,доц. Таточенко В.І.,лекція,https://zoom.us/j/123,16
12-421,Функціональний аналіз,доц. Кузьмич В.І.,лабораторна,https://zoom.us/j/123,16
12-431,Технології віртуальної та доповненої реальності,доц. Г.Кравцов,лекція,https://zoom.us/j/123,16
12-431,Програмування мобільних та веб-додатків,доц. Топалов А.М.,лекція,https://zoom.us/j/123,16
12-431,Програмування мобільних та веб-додатків,доц. Топалов А.М.,практика,https://zoom.us/j/123,16
12-431,Технології віртуальної та доповненої реальності,доц.  Г.Кравцов,практика,https://zoom.us/j/123,16
12-441_12-242,2 підгрупа: Моделювання та програмування роботів,проф. Бабічев С.А.,лекція,https://zoom.us/j/123,40
12-441_12-242,Проектний практикум з фул стек розробки,викл. Лемещук О.І.,лекція,https://zoom.us/j/123,16
12-441_12-242,Штучний інтелект і нейронні мережі,доц. Зайцева Т.В.,практика,https://zoom.us/j/123,16
12-441,Штучний інтелект і нейронні мережі,доц. Полторацький М.Ю.,лекція ,https://zoom.us/j/123,16 
12-441,Операційні системи та системне програмування,проф. М. Львов.,лекція ,https://zoom.us/j/123,16 
12-461,Нейронні мережі та нечітка логіка,доц. О.Вейцбліт,лекція ,https://zoom.us/j/123,16 
12-461,Нейронні мережі та нечітка логіка,доц. О.Вейцбліт,практика ,https://zoom.us/j/123,16 
12-461,Управління проєктами,проф.В.Кобець,лекція ,https://zoom.us/j/123,16 
12-461,Архітектура підприємства,проф.В.Кобець,практика ,https://zoom.us/j/123,16 

